

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|01 41 43.0|-89 20 04|302.7682|-27.7778|   1.30|    SPIRAL GALAXY|
|23 12 14.3|-89 07 33|303.3469|-27.9212|   1.33|    SPIRAL GALAXY|
|23 07 35.2|-89 06 57|303.3700|-27.9225|   1.22| IRREGULAR GALAXY|
|14 27 21.4|-87 46 22|303.9312|-25.0897|   1.48|    SPIRAL GALAXY|
|05 04 37.3|-87 34 20|300.4710|-28.1978|   1.12| IRREGULAR GALAXY|
|15 31 17.5|-87 26 06|304.7517|-25.1506|   1.40|    SPIRAL GALAXY|
|17 09 21.1|-87 24 47|305.5291|-25.9898|   1.03|    SPIRAL GALAXY|
|03 29 50.1|-87 09 41|300.8575|-29.3002|   1.07|    SPIRAL GALAXY|
|05 04 29.8|-87 01 45|299.9147|-28.4324|   1.08| IRREGULAR GALAXY|
|00 14 55.5|-86 59 38|303.4829|-30.0952|   1.11|LENTICULAR GALAXY|
|09 15 42.7|-86 46 01|300.0441|-25.1954|   0.99|ELLIPTICAL GALAXY|
|17 41 50.0|-86 42 55|306.4226|-26.1029|   1.05|    SPIRAL GALAXY|
|06 05 39.9|-86 37 54|299.2011|-27.7471|   1.58|    SPIRAL GALAXY|
|13 41 01.4|-86 31 10|303.7476|-23.7265|   1.06|    SPIRAL GALAXY|
|05 18 50.0|-86 23 09|299.1504|-28.4984|   1.11|    SPIRAL GALAXY|
|10 46 48.8|-86 17 17|300.8318|-23.9362|   1.12|    SPIRAL GALAXY|
|00 59 06.7|-86 17 10|302.7872|-30.8400|   1.19|    SPIRAL GALAXY|
|19 30 59.6|-86 00 56|307.3678|-27.7427|   1.38|    SPIRAL GALAXY|
|01 00 49.6|-85 31 24|302.7169|-31.6010|   1.22|    SPIRAL GALAXY|
|07 42 06.4|-85 25 19|297.9598|-26.0370|   1.03|LENTICULAR GALAXY|
|18 22 43.2|-85 24 15|308.0266|-26.4621|   1.43|           GALAXY|
|18 22 15.7|-85 24 04|308.0283|-26.4525|   1.20|           GALAXY|
|17 39 32.1|-85 18 34|307.8796|-25.5943|   1.32|    SPIRAL GALAXY|
|01 31 58.4|-85 10 39|301.9339|-31.8720|   1.19|    SPIRAL GALAXY|
|08 19 23.5|-85 08 41|297.9550|-25.2231|   1.06|    SPIRAL GALAXY|
|08 20 35.2|-84 58 38|297.7982|-25.1305|   1.17|    SPIRAL GALAXY|
|19 20 13.1|-84 47 34|308.7668|-27.6597|   0.96|    SPIRAL GALAXY|
|07 26 18.8|-84 31 13|296.8950|-26.1688|   1.02|    SPIRAL GALAXY|
|01 09 03.3|-74 30 50|301.3368|-42.5598|   1.04|    SPIRAL GALAXY|
|12 42 10.3|-84 27 51|302.6916|-21.5967|   1.22|    SPIRAL GALAXY|
|04 00 37.5|-84 22 01|298.1114|-30.8658|   1.12|    SPIRAL GALAXY|
|14 05 19.2|-84 16 25|304.8814|-21.6836|   1.20|LENTICULAR GALAXY|
|19 40 14.1|-84 16 21|309.2862|-28.1951|   1.04|    SPIRAL GALAXY|
|03 24 06.6|-84 09 40|298.6965|-31.6548|   1.12|    SPIRAL GALAXY|
|16 34 09.9|-84 08 38|308.2135|-23.7288|   1.08|LENTICULAR GALAXY|
|03 59 48.2|-84 05 39|297.8848|-31.0583|   1.14|LENTICULAR GALAXY|
|07 32 36.5|-84 04 24|296.4461|-25.9207|   1.19|ELLIPTICAL GALAXY|
|07 29 55.6|-84 02 26|296.3934|-25.9811|   1.02|    SPIRAL GALAXY|
|02 00 14.9|-83 59 17|300.8187|-32.8553|   1.21|    SPIRAL GALAXY|
|03 49 37.2|-83 57 42|297.9754|-31.3441|   1.08|    SPIRAL GALAXY|
|03 42 06.3|-83 53 02|298.0717|-31.5412|   1.05|    SPIRAL GALAXY|
|00 52 45.2|-83 51 26|302.8898|-33.2709|   1.14|LENTICULAR GALAXY|
|03 52 02.5|-83 49 57|297.8131|-31.3844|   1.42|    SPIRAL GALAXY|
|04 27 30.2|-83 33 04|296.8591|-30.7859|   1.08|    SPIRAL GALAXY|
|08 36 39.4|-83 27 53|296.5151|-24.0876|   1.21|    SPIRAL GALAXY|
|01 46 28.1|-83 23 12|301.0489|-33.5392|   1.14|LENTICULAR GALAXY|
|01 38 48.3|-83 21 51|301.3002|-33.6134|   1.25|    SPIRAL GALAXY|
|21 39 27.2|-83 20 07|308.7353|-31.4680|   0.89|ELLIPTICAL GALAXY|
|05 52 00.0|-83 17 52|295.5462|-28.6531|   1.02|    SPIRAL GALAXY|
|01 41 32.8|-83 12 44|301.1652|-33.7433|   1.27|    SPIRAL GALAXY|
|02 53 33.8|-83 08 33|298.7856|-32.9736|   1.12|LENTICULAR GALAXY|
|13 34 32.4|-83 07 47|304.2990|-20.3727|   1.16|    SPIRAL GALAXY|
|03 12 20.1|-83 07 27|298.2270|-32.6662|   1.20|    SPIRAL GALAXY|
|13 57 48.7|-83 04 52|305.0365|-20.4822|   1.33|    SPIRAL GALAXY|
|15 59 36.2|-82 54 54|308.5265|-22.1910|   1.27|    SPIRAL GALAXY|
|21 35 33.0|-82 54 11|309.2174|-31.6460|   0.97|           GALAXY|
|21 41 00.7|-82 48 02|309.1869|-31.8427|   1.13|    SPIRAL GALAXY|
|15 03 32.2|-82 47 45|307.1310|-21.0269|   1.27|    SPIRAL GALAXY|
